,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,maximum_vehicle_class,open_date,owner_type_code,restricted_access,status_code,facility_type,station_name,station_phone,updated_at,geocode_status,latitude,longitude,city,country,intersection_directions,plus4,state,street_address,zip,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_has_rng,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_workplace_charging,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_has_rng,lng_renewable_source,lng_vehicle_class,lpg_nozzle_types,lpg_primary,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blended_with_biodiesel,rd_blends,rd_blends_fr,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,distance,distance_km,ev_network_ids,federal_agency
10,public,,,,2022-10-06,,ELEC,Public,115118,,2017-06-16,P,,E,PAY_GARAGE,City Parking RL Mercer Street - Tesla Destination,212-219-3413  877-798-3752,2023-01-18T15:15:20Z,200-9,40.721437,-74.001238,New York,US,,,NY,40 Mercer St,10025,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,0.65511,1.0543,{'station': ['506839']},
11,public,,,,2022-10-06,,ELEC,Public,115132,,2017-06-07,P,,E,PAY_GARAGE,imPark 422 E 79th Street - Tesla Destination,212-737-6283  877-798-3752,2023-01-18T15:15:20Z,200-8,40.771879,-73.951627,New York,US,,,NY,422 E 79th St,10075,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.99551,8.03949,{'station': ['506708']},
12,public,,,,2022-10-06,,ELEC,Public,115136,,2018-04-18,P,,E,PAY_GARAGE,ABM Parking 866 UN Plaza - Tesla Destination,877-727-5452  877-798-3752,2023-01-18T15:15:20Z,200-8,40.752641,-73.965187,New York,US,,,NY,430 E 49th St,10017,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,3.4972,5.6282,{'station': ['510625']},
13,private,Business Hours,,,2022-03-07,,ELEC,Private,153865,LD,2019-12-06,P,,E,OFFICE_BLDG,Dock72,,2023-02-15T22:45:41Z,GPS,40.700302,-73.972272,Brooklyn,US,,,NY,1 Dock72 Way,11205,,,,,,,,,,,,['J1772'],,,24.0,Non-Networked,,,,,True,,,,,,,,,,,,,,,,,,,,,Privé,,1.95813,3.1513,,
14,public,24 hours daily,,,2024-04-09,,ELEC,Public,310610,,2023-09-14,,,E,,CITYLIGHTS 5TH FLOOR 1,888-758-4389,2024-04-09T06:17:00Z,GPS,40.744127,-73.95684,Queens,US,,,NY,4-74 48th Ave,11109,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,3.36538,5.41605,"{'station': ['USCPIL14049421'], 'posts': ['23516501', '23516511']}",
15,public,24 hours daily,,,2024-04-09,,ELEC,Public,223834,,2022-07-21,,,E,,G & M REALTY 2 STATION 3,888-758-4389,2024-04-09T05:28:13Z,GPS,40.745399,-73.946226,LIC,US,,,NY,22-44 Jackson Ave,11101,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,3.85402,6.20244,"{'station': ['USCPIL12937431'], 'posts': ['22227091', '22227101']}",
16,public,,,,2022-10-06,,ELEC,Public,115088,,2016-04-30,P,,E,HOTEL,Icon Parking 308 Greenwich - Tesla Destination,212-227-6940  877-798-3752,2023-01-18T15:15:20Z,200-9,40.717686,-74.010613,New York,US,,,NY,308 Greenwich St,10013,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,0.41993,0.67581,{'station': ['501378']},
17,public,24 hours daily,,,2024-04-09,2023-02-24,ELEC,TEMPORARILY UNAVAILABLE (Public),188095,,2021-04-29,,,T,,UMGI EV1,888-758-4389,2024-04-09T04:20:24Z,GPS,40.744557,-73.926271,LIC,US,,,NY,38-15 Queens Blvd,11101,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,4.70463,7.57137,"{'station': ['USCPIL5484101'], 'posts': ['9101161']}",
18,public,24 hours daily,,,2024-04-09,,ELEC,Public,237081,,2022-12-05,,,E,,1 WATERLINE STATION#7,888-758-4389,2024-04-09T05:09:03Z,GPS,40.772839,-73.992493,New York,US,,,NY,10 Riverside Blvd,10019,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.24196,6.82677,"{'station': ['USCPIL12432071'], 'posts': ['23751191', '23751201']}",
19,public,,,,2022-10-06,,ELEC,Public,150570,,2019-03-31,P,,E,,Icon Parking 202 E 18th Street - Tesla Destination,212-473-9869  877-798-3752,2023-01-18T15:15:20Z,200-8,40.735496,-73.985024,Manhattan,US,,,NY,202 E 18th St,10003,,,,,,,,,,,,['TESLA'],,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,1.92468,3.09747,{'station': ['514205']},
20,public,24 hours daily,,,2024-04-09,,ELEC,Public,207889,,2022-03-10,,,E,,1 WATERLINE STATION#6,888-758-4389,2024-04-09T05:06:12Z,GPS,40.772912,-73.992589,New York,US,,,NY,10 Riverside Blvd,10069,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.24615,6.83352,"{'station': ['USCPIL12237741'], 'posts': ['23751031', '23751041']}",
21,public,24 hours daily,,,2024-04-09,,ELEC,Public,207730,,2022-03-08,,,E,,1 WATERLINE STATION#3,888-758-4389,2024-04-09T05:06:09Z,GPS,40.773005,-73.992868,New York,US,,,NY,10 Riverside Blvd,10069,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.25017,6.83999,"{'station': ['USCPIL12234471'], 'posts': ['21202541', '21202551']}",
22,public,24 hours daily,,,2024-04-09,,ELEC,Public,207796,,2022-03-09,,,E,,1 WATERLINE STATION#5,888-758-4389,2024-04-09T05:06:10Z,GPS,40.772904,-73.992514,New York,US,,,NY,10 Riverside Blvd,10069,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.24624,6.83366,"{'station': ['USCPIL12234491'], 'posts': ['21202581', '21202591']}",
23,public,,,,2022-10-06,,ELEC,Public,115090,,2015-03-19,P,,E,HOTEL,Waldorf Astoria New York - Tesla Destination,212-355-3000  877-798-3752,2023-01-18T15:15:20Z,200-8,40.756722,-73.97406,New York,US,,,NY,310 Park Ave,10022,,,,,,,,,,,,['TESLA'],,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,3.48415,5.6072,{'station': ['506064']},
24,public,,,,2022-10-06,,ELEC,Public,115165,,2017-03-10,P,,E,PAY_GARAGE,Standard Parking 58 W 58th Street - Tesla Destination,800-836-6666  877-798-3752,2023-01-18T15:15:20Z,200-9,40.76476,-73.976153,New York,US,,,NY,58 W 58th St,10019,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,3.94038,6.34143,{'station': ['505319']},
25,private,,,,2022-01-10,,ELEC,Private,150452,LD,2019-12-12,P,,E,COLLEGE_CAMPUS,Stevens Institute of Technology,,2023-02-15T22:45:41Z,200-8,40.742254,-74.02706,Hoboken,US,,,NJ,525 River St,07030,,,,,,,,,,,,['J1772'],,,5.0,Non-Networked,,,,,True,,,,,,,,,,,,,,,,,,,,,Privé,,2.3285,3.74736,,
26,public,24 hours daily,,,2024-04-09,,ELEC,Public,328293,,2024-02-14,,,E,,CENTERS HEALTHC EV-5,888-758-4389,2024-04-09T07:01:33Z,GPS,40.673563,-73.926284,Brooklyn,US,,,NY,170 Buffalo Avenue,11213,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.96668,7.9931,"{'station': ['USCPIL15476031'], 'posts': ['25034501', '25034511']}",
27,public,,,,2022-10-06,,ELEC,Public,115055,,2017-11-02,P,,E,PAY_GARAGE,iPark 200 West Garage Corp. - Tesla Destination,646-486-2148  877-798-3752,2023-01-18T15:15:20Z,200-9,40.746304,-73.995064,New York,US,,,NY,220 W 26th St,10001,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,2.40513,3.87068,{'station': ['508625']},
28,private,,,,2023-12-13,,ELEC,Private,74648,MD,2016-03-01,P,,E,FLEET_GARAGE,United Parcel Service,,2024-01-31T22:07:01Z,200-8,40.762442,-74.000055,New York,US,,,NY,643 W 43rd St,10036,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,3.47354,5.59012,,
29,public,24 hours daily,CREDIT_CARD_ALWAYS,A D Debit M V,2023-04-06,,ELEC,Public - Credit card at all times,256128,LD,2023-03-09,P,False,E,PARKING_GARAGE,EVPassport - 200 E 24th St Garage,888-702-2124,2024-01-31T22:07:01Z,GPS,40.7392528900457,-73.9823287610015,New York,US,,,NY,200 E 24th St,10010,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Public - Carte de crédit en tout temps,,2.21978,3.57239,,
30,public,24 hours daily,,,2024-04-09,2024-01-19,ELEC,TEMPORARILY UNAVAILABLE (Public),211962,,2022-03-18,,,T,,WATERLINE 2W STATION 2,888-758-4389,2024-04-09T05:10:45Z,GPS,40.7733,-73.991532,New York,US,,,NY,400 W 61st St,10069,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,4.28212,6.8914,"{'station': ['USCPIL12459521'], 'posts': ['21589501', '21589511']}",
31,public,,,,2022-10-06,,ELEC,Public,115006,,2018-01-08,P,,E,PAY_GARAGE,MPG 121 Reade Street - Tesla Destination,212-608-3060  877-798-3752,2023-01-18T15:15:20Z,200-9,40.716268,-74.009491,New York,US,,,NY,121 Reade St,10013,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,0.30566,0.49191,{'station': ['509451']},
32,public,,,,2022-10-06,,ELEC,Public,115068,,2015-05-21,P,,E,PAY_GARAGE,iPark NYC 250 West Parking - Tesla Destination,212-627-1704  877-798-3752,2023-01-18T15:15:20Z,200-8,40.742407,-73.999351,New York,US,,,NY,250 W 19th St,10011,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,2.09434,3.37051,{'station': ['511074']},
33,public,,,,2022-10-06,,ELEC,Public,115012,,2017-12-07,P,,E,PAY_GARAGE,1345 Parking Garage - Tesla Destination,212-245-8708  877-798-3752,2023-01-18T15:15:20Z,GPS,40.76351,-73.979364,New York,US,,,NY,1345 6th Ave,10105,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,3.79641,6.10973,{'station': ['507929']},
34,public,24 hours daily,,,2024-04-09,,ELEC,Public,200988,,2021-11-11,,,E,,NYU NYU # 1,888-758-4389,2024-04-09T04:56:55Z,GPS,40.72808,-73.99724,New York,US,,,NY,2 Washington Square Village,10012,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,1.16193,1.86995,"{'station': ['USCPIL10089431'], 'posts': ['17964891', '17964901']}",
35,public,24 hours daily,,,2023-07-01,,ELEC,Public,102336,,2018-07-23,P,,E,,E 47th Street - Tesla Supercharger,877-798-3752,2023-07-14T19:41:28Z,200-9,40.753356,-73.971685,New York,US,,,NY,212 East 47th Street,10017,,,,,,,,,,,,['TESLA'],4.0,,,Tesla,https://www.tesla.com/supercharger,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,3.34461,5.38263,{'station': ['3550']},
36,public,24 hours daily; can charge for up to 10 hours,,A Cash D Debit M V,2023-03-08,,ELEC,Public,147009,LD,2016-01-01,P,False,E,PAY_GARAGE,Glenwood Management - Paramount Garage,212-599-8610,2024-01-31T22:07:01Z,200-9,40.74793,-73.974556,New York,US,,,NY,221 E 38th St,10016,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,$15 per session,,False,,,,,,,,,,,,,,,,,,,,,Public,,2.94658,4.74206,,
37,public,,,,2022-10-06,,ELEC,Public,150580,,2019-03-31,P,,E,,IMPark 188 E 78th St - Tesla Destination,212-535-0403  877-798-3752,2023-01-18T15:15:20Z,200-9,40.773665,-73.958333,Manhattan,US,,,NY,188 E 78th St,10075,,,,,,,,,,,,['TESLA'],,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.91325,7.90711,{'station': ['514193']},
38,public,24 hours daily,,,2024-04-09,2023-02-27,ELEC,TEMPORARILY UNAVAILABLE (Public),188094,,2021-04-29,,,T,,UMGI EV2,888-758-4389,2024-04-09T04:20:24Z,GPS,40.744546,-73.926319,LIC,US,,,NY,38-15 Queens Blvd,11101,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,4.70207,7.56725,"{'station': ['USCPIL5483961'], 'posts': ['9100961']}",
39,public,24 hours daily,,,2024-04-09,,ELEC,Public,169880,,2020-12-03,,,E,,STATION 4TH FL MOTORGATE #1,888-758-4389,2024-04-09T04:20:52Z,GPS,40.764429,-73.946793,New York,US,,,NY,688 Main St,10044,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.7375,7.62427,"{'station': ['USCPIL5491191'], 'posts': ['15004121', '15004131']}",
40,public,24 hours daily,,,2024-04-09,,ELEC,Public,200987,,2021-11-11,,,E,,NYU NYU # 2,888-758-4389,2024-04-09T04:56:55Z,GPS,40.728283,-73.997251,New York,US,,,NY,2 Washington Square Village,10012,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,1.17471,1.89051,"{'station': ['USCPIL10088841'], 'posts': ['17963801', '17963811']}",
41,public,,,,2022-10-06,,ELEC,Public,114889,,2018-05-24,P,,E,PAY_GARAGE,Standard Parking 1360 Fulton Street - Tesla Destination,800-836-6666  877-798-3752,2023-01-18T15:15:20Z,200-9,40.680168,-73.946022,Brooklyn,US,,,NY,1360 Fulton St,11216,,,,,,,,,,,,['TESLA'],,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,3.85925,6.21086,{'station': ['511150']},
42,public,,,,2022-10-06,,ELEC,Public,115178,,2015-11-13,P,,E,HOTEL,Parkright 670 W 43rd Street - Tesla Destination,212-247-7303  877-798-3752,2023-01-18T15:15:20Z,200-8,40.762189,-73.999714,New York,US,,,NY,670 W 43rd St,10036,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,3.45765,5.56455,{'station': ['500598']},
43,public,,,,2022-10-06,,ELEC,Public,115149,,2018-10-17,P,,E,PAY_GARAGE,Icon Parking 524 East 73rd - Tesla Destination,212-452-1324  877-798-3752,2023-01-18T15:15:20Z,200-9,40.766736,-73.951891,New York,US,,,NY,524 E 73rd St,10021,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.69677,7.55872,{'station': ['513141']},
44,public,,,,2022-10-06,,ELEC,Public,150573,,2019-03-31,P,,E,,Enterprise Parking 545 Washington Ave - Tesla Destination,347-889-6642  877-798-3752,2023-01-18T15:15:20Z,200-9,40.681953,-73.964405,Brooklyn,US,,,NY,545 Washington Ave,11238,,,,,,,,,,,,['TESLA'],,,4.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,3.04659,4.90301,{'station': ['514201']},
45,public,,,,2022-10-06,,ELEC,Public,115018,,2017-11-02,P,,E,PAY_GARAGE,Icon Parking 150 Charles Street - Tesla Destination,212-414-4140  877-798-3752,2023-01-18T15:15:20Z,200-9,40.734006,-74.009079,New York,US,,,NY,150 Charles St,10014,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,1.48934,2.39686,{'station': ['508620']},
46,private,24 hours daily,,A D M V,2020-10-09,,ELEC,Private,166334,,2020-06-20,P,,E,PARKING_GARAGE,Little Man Parking,,2021-03-11T23:22:17Z,200-9,40.736778,-73.979688,Manhattan,US,,,NY,329 E 22nd St,10010,,,,,,,,,,,,['J1772'],,,6.0,EV Connect,http://evconnect.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,2.16313,3.48122,,
47,public,24 hours daily,,,2024-04-09,,ELEC,Public,168525,,2020-11-17,,,E,,STATION 4TH FL MOTORGATE #2,888-758-4389,2024-04-09T04:20:52Z,GPS,40.764208,-73.947198,New York,US,,,NY,Main St/10 River Rd,10044,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.71211,7.58341,"{'station': ['USCPIL5491221'], 'posts': ['9110021', '9110031']}",
48,public,24 hours daily,,A CREDIT D M V,2024-01-09,,ELEC,Public,223268,LD,2022-02-09,P,False,E,PAY_GARAGE,44 W 62nd St.,844-623-1001,2024-01-31T22:07:01Z,GPS,40.7708,-73.98323,New York,US,,,NY,44 W 62nd St,10023,,,,,,,,,,,,['J1772'],,,4.0,LIVINGSTON,https://www.solution.energy,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.21165,6.77799,,
49,public,,,,2022-10-06,,ELEC,Public,115089,,2016-12-27,P,,E,PAY_GARAGE,Parkit 310 E 11th Street - Tesla Destination,212-475-5262  877-798-3752,2023-01-18T15:15:20Z,200-9,40.730017,-73.985512,New York,US,,,NY,310 E 11th St,10003,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,1.60832,2.58834,{'station': ['504454']},
50,public,,,,2022-10-06,,ELEC,Public,115019,,2016-04-30,P,,E,PAY_GARAGE,Icon Parking 150 E 58th Street - Tesla Destination,212-755-8678  877-798-3752,2023-01-18T15:15:20Z,200-9,40.76139,-73.968269,New York,US,,,NY,150 E 58th St,10155,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,3.91497,6.30053,{'station': ['501386']},
51,public,,,,2022-10-06,,ELEC,Public,114917,,2017-08-17,P,,E,PAY_GARAGE,MPG 100 Jay Street - Tesla Destination,718-855-2851  877-798-3752,2023-01-18T15:15:20Z,200-9,40.702194,-73.98672,Brooklyn,US,,,NY,100 Jay St,10021,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,1.24363,2.00143,{'station': ['507640']},
52,public,24 hours daily,,,2024-04-09,,ELEC,Public,224248,,2022-07-22,,,E,,G & M REALTY 2 STATION 1,888-758-4389,2024-04-09T05:28:13Z,GPS,40.745393,-73.946234,LIC,US,,,NY,22-44 Jackson Ave,11101,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,3.85343,6.20149,"{'station': ['USCPIL12937371'], 'posts': ['22227001', '22227011']}",
53,public,,,,2022-10-06,,ELEC,Public,115084,,2016-12-28,P,,E,PAY_GARAGE,GGMC Parking E 74th Street - Tesla Destination,212-988-8026  877-798-3752,2023-01-18T15:15:20Z,200-8,40.769947,-73.956989,New York,US,,,NY,300 E 74th St,10021,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.72915,7.61083,{'station': ['504464']},
